Edu_qual,Priority
10th,0
10th pass,0
12,0
12th,0
highersecondary12thpass',0
highschool',0
highschooldiploma',0
hsc',0
puc',0
secondary10thpass',0
secondary',0
secondaryeducation',0
aeronautical,1
anygraduate,1
anydegree,1
B.A,1
bachelorofcommercebcom,1
bachelorofcomputerapplication',1
bachelorofsciencebsc',1
bacheloroftechnology',1
bachelor',1
bachelors',1
bachelorsdegree',1
bachelorsdegreeinaccounting',1
bachelorsdegreeinbusiness',1
bachelorsdegreeincomputerscience',1
bachelorsdegreeingraphicdesign',1
bachelorsmastersdegreeinhorticulture',1
barch',1
bba',1
bbabms',1
bbabmsinmanagement',1
bca',1
bcaincomputers',1
bcom',1
be',1
bebtech',1
bebtechcomputerscience',1
bebtechincomputerscience',1
bed',1
beincomputers',1
bemca',1
biotechnology',1
bms',1
bpharma',1
bpharmainpharmacy',1
bs',1
bsc',1
bscbebtechincomputerscience',1
bscdegreeincomputerscience',1
bscdegreeindesignvisualarts',1
bscincomputers',1
bscmscbpharm',1
btech',1
btechbe',1
btechbeincomputers',1
btechbeinelectrical',1
btechbeinelectronicstelecommunicationcomputers',1
btechcivil',1
btechincomputerscience',1
btechonlycse',1
btechonlycseit',1
civilengineeringdegree',1
computerscience',1
degree',1
degreediplomainarchitect',1
degreeinarchitecture',1
degreeinengineeringincomputerscience',1
diploma',1
diplomahardwarenetworking',1
diplomainlifescience',1
diplomainmedicallaboratorytechnology',1
diplomainmedicalrecordtechnology',1
diplomainoperationtheatretechnology',1
diplomainpharmacy',1
diplomainphysiotherapy',1
diplomainxraytechnology',1
electronics',1
electronicsengineering',1
engineering',1
finearts',1
freshers',1
graduate',1
graduatedegree',1
graduates',1
graduation',1
icwainter',1
it',1
llb',1
llm',1
logisticssupplychain',1
manufacturingtechnology',1
mechanical',1
mechatronics',1
medical',1
othergraduate',1
pharm',1
pharma',1
pharmacy',1
ricsmember',1
ca',2
cainter',2
charteredaccountant',2
charteredsurveyors',2
ma',2
masteroflawmlllm',2
master',2
masters',2
mastersdegree',2
mastersdegreeinbusinessadministration',2
mastersdegreemicrobiology',2
mastersinfoodnutrition',2
mastersintechnology',2
mba',2
mbafinance',2
mbait',2
mbapgdm',2
mbapgdminmarketing',2
mbas',2
mbbs',2
mbbsdegree',2
mbbsinmedicine',2
mca',2
mcom',2
me',2
mpharma',2
mpharmainpharmacy',2
ms',2
msc',2
msmsc',2
mscmicrobiology',2
msdegree',2
msmscscienceinmicrobiology',2
mtech',2
pg',2
pgdiploma',2
pgdm',2
pgincomputers',2
postgraduate',2
postgraduation',2
postgraduateincommerce',2
postgraduationmastersinenglish',2
postgraduationmastersinsanskrit',2
cfa',3
doctorate',3
medicalms',3
medicalmd',3
medicalmsmd',3
mphil',3
phd',3
bebtechmtechmca,2
btechbe,1
btechbemcamtech,2